flag,h5ad,Z_values,3D_forward,x_shift,y_shift
s98,path/s98.fu100.h5ad,98,"[[0.9989856619560981, 0.04502940379503958, 335.71127708984807], [-0.04502940379503958, 0.9989856619560981, 932.9308254226935], [0.0, 0.0, 1.0]]",4500,10700
s99,path/s99.fu100.h5ad,99,"[[0.9999775054029398, -0.006707360741229159, 261.56792981327294], [0.006707360741229159, 0.9999775054029398, 862.644258344715], [0.0, 0.0, 1.0]]",4400,7350
s100,path/s100.fu100.h5ad,100,"[[0.9987877252928492, 0.049224788514890976, 205.3799112461171], [-0.049224788514890976, 0.9987877252928492, 908.7397523921359], [0.0, 0.0, 1.0]]",4350,3850
s101,path/s101.fu100.h5ad,101,"[[0.9945910110567204, 0.10386876684148187, 299.9843191906699], [-0.10386876684148187, 0.9945910110567204, 944.3865218524903], [0.0, 0.0, 1.0]]",8200,10400
s102,path/s102.fu100.h5ad,102,"[[0.9953135967664307, 0.09669976262572628, 515.2831822232729], [-0.09669976262572628, 0.9953135967664307, 770.2281337010947], [0.0, 0.0, 1.0]]",8500,6750
s103,path/s103.fu100.h5ad,103,"[[1.0, 0.0, 300.0], [0.0, 1.0, 805.0], [0.0, 0.0, 1.0]]",8150,3200
s104,path/s104.fu100.h5ad,104,"[[-0.9947361594089005, 0.1024693767153416, 2879.419307602847], [-0.1024693767153416, -0.9947361594089005, 3203.4637894800203], [0.0, 0.0, 1.0]]",11650,11600
s105,path/s105.fu100.h5ad,105,"[[-0.9974995286570105, 0.07067312310237024, 2874.7620926505906], [-0.07067312310237024, -0.9974995286570105, 3264.8659437383435], [0.0, 0.0, 1.0]]",11250,7800
s106,path/s106.fu100.h5ad,106,"[[-0.9918875022898839, -0.12711877438497163, 3089.235241074297], [0.12711877438497163, -0.9918875022898839, 2973.161988044953], [0.0, 0.0, 1.0]]",11650,3950
s107,path/s107.fu100.h5ad,107,"[[-0.9999854506967536, -0.005394292799356443, 2883.336886694743], [0.005394292799356443, -0.9999854506967536, 3108.952505182793], [0.0, 0.0, 1.0]]",8000,12050
s108,path/s108.fu100.h5ad,108,"[[-0.999825141420272, 0.018699908661124035, 2934.8226958309533], [-0.018699908661124035, -0.999825141420272, 3146.081504158894], [0.0, 0.0, 1.0]]",7700,8800
s109,path/s109.fu100.h5ad,109,"[[-0.9995781837117913, 0.029042290671276654, 2876.3690439274496], [-0.029042290671276654, -0.9995781837117913, 3134.2465385148453], [0.0, 0.0, 1.0]]",7450,4801
s110,path/s110.fu100.h5ad,110,"[[-0.014876059293129929, 0.999889345307723, 390.9693370590252], [-0.999889345307723, -0.014876059293129929, 3166.4821388443606], [0.0, 0.0, 1.0]]",10600,4250
s111,path/s111.fu100.h5ad,111,"[[-0.016238115612161423, 0.999868153108883, 467.88265873326236], [-0.999868153108883, -0.016238115612161423, 3109.690401732315], [0.0, 0.0, 1.0]]",6600,4550
s112,path/s112.fu100.h5ad,112,"[[-0.016457737989082837, 0.9998645622584504, 587.3802580317684], [-0.9998645622584504, -0.016457737989082837, 3101.8689987048647], [0.0, 0.0, 1.0]]",2500,4950
s113,path/s113.fu100.h5ad,113,"[[-0.020554041577911172, 0.9997887433727242, 553.3102600410214], [-0.9997887433727242, -0.020554041577911172, 3062.4524939582784], [0.0, 0.0, 1.0]]",11050,8750
